Date,Sales
2000-01-01,10071
2000-02-01,10132
2000-03-01,10818
2000-04-01,10458
2000-05-01,11110
2000-06-01,10680
2000-07-01,10520
2000-08-01,10945
2000-09-01,10587
2000-10-01,11085
2000-11-01,11105
2000-12-01,13346
2001-01-01,11414
2001-02-01,10958
2001-03-01,11814
2001-04-01,11430
2001-05-01,12064
2001-06-01,11597
2001-07-01,11515
2001-08-01,11919
2001-09-01,11132
2001-10-01,12335
2001-11-01,11967
2001-12-01,13627
2002-01-01,12471
2002-02-01,11952
2002-03-01,12802
2002-04-01,12627
2002-05-01,13143
2002-06-01,12303
2002-07-01,12644
2002-08-01,12784
2002-09-01,12393
2002-10-01,13143
2002-11-01,12901
2002-12-01,14773
2003-01-01,13519
2003-02-01,12801
2003-03-01,13616
2003-04-01,13545
2003-05-01,13959
2003-06-01,13262
2003-07-01,13659
2003-08-01,13607
2003-09-01,13591
2003-10-01,14260
2003-11-01,13531
2003-12-01,16174
2004-01-01,14065
2004-02-01,13341
2004-03-01,14506
2004-04-01,14034
2004-05-01,14025
2004-06-01,13877
2004-07-01,13747
2004-08-01,13783
2004-09-01,13632
2004-10-01,14055
2004-11-01,14017
2004-12-01,16149
2005-01-01,14416
2005-02-01,14022
2005-03-01,15399
2005-04-01,14583
2005-05-01,15105
2005-06-01,14682
2005-07-01,14501
2005-08-01,15013
2005-09-01,14615
2005-10-01,14846
2005-11-01,14885
2005-12-01,17103
2006-01-01,15257
2006-02-01,14681
2006-03-01,16174
2006-04-01,15225
2006-05-01,16271
2006-06-01,15720
2006-07-01,15426
2006-08-01,16092
2006-09-01,15483
2006-10-01,16382
2006-11-01,16252
2006-12-01,18055
2007-01-01,16985
2007-02-01,15822
2007-03-01,17258
2007-04-01,16532
2007-05-01,17279
2007-06-01,16497
2007-07-01,16542
2007-08-01,16992
2007-09-01,15966
2007-10-01,17264
2007-11-01,16713
2007-12-01,18434
2008-01-01,17449
2008-02-01,17201
2008-03-01,17719
2008-04-01,17143
2008-05-01,17871
2008-06-01,17038
2008-07-01,17413
2008-08-01,17200
2008-09-01,17176
2008-10-01,18019
2008-11-01,16975
2008-12-01,19653
2009-01-01,17741
2009-02-01,17028
2009-03-01,18501
2009-04-01,18226
2009-05-01,18146
2009-06-01,17944
2009-07-01,17957
2009-08-01,17604
2009-09-01,17770
2009-10-01,18492
2009-11-01,17784
2009-12-01,20067
2010-01-01,17874
2010-02-01,17171
2010-03-01,19214
2010-04-01,18340
2010-05-01,18295
2010-06-01,18372
2010-07-01,18170
2010-08-01,18328
2010-09-01,18124
2010-10-01,18611
2010-11-01,18724
2010-12-01,21007
2011-01-01,19155
2011-02-01,18117
2011-03-01,20042
2011-04-01,18944
2011-05-01,19505
2011-06-01,19081
2011-07-01,18541
2011-08-01,19481
2011-09-01,18845
2011-10-01,19302
2011-11-01,19103
2011-12-01,21133
2012-01-01,19401
2012-02-01,19056
2012-03-01,19943
2012-04-01,19050
2012-05-01,19701
2012-06-01,18426
2012-07-01,18559
2012-08-01,19168
2012-09-01,17847
2012-10-01,19468
2012-11-01,18700
2012-12-01,20632
2013-01-01,19783
2013-02-01,18141
2013-03-01,19510
2013-04-01,19023
